slug,document_type,section_order,section_title
rob-2026,rapport_orientation_budgetaire,1,Table des matières
rob-2026,rapport_orientation_budgetaire,2,II. Eléments généraux de contexte
rob-2026,rapport_orientation_budgetaire,3,III. Situation et orientations budgétaires pour 2026
rob-2026,rapport_orientation_budgetaire,4,IV. Fiscalité locale
rob-2026,rapport_orientation_budgetaire,5,V. Etat de la dette au 1er janvier 2026
rob-2026,rapport_orientation_budgetaire,6,VI. Programmation des investissements
rob-2026,rapport_orientation_budgetaire,7,VII. Budgets Annexes
rob-2026,rapport_orientation_budgetaire,8,I. Indications liminaires
rob-2026,rapport_orientation_budgetaire,9,II. Éléments généraux de
rob-2026,rapport_orientation_budgetaire,10,B. La loi de finances 2026
rob-2026,rapport_orientation_budgetaire,11,A. Point sur l'exécution budgétaire 2025
rob-2026,rapport_orientation_budgetaire,12,B. Les Dotations 2025 de l'État
rob-2026,rapport_orientation_budgetaire,13,C. Orientations budgétaires 2026 : évolution rétrospective et prospective
rob-2026,rapport_orientation_budgetaire,14,D. Les Ressources Humaines
cfu-principal-2024,cfu_principal,1,Sommaire
cfu-principal-2024,cfu_principal,2,Le Compte Financier Unique
cfu-principal-2024,cfu_principal,3,I. Informations générales et synthétiques
cfu-principal-2024,cfu_principal,4,II. Exécution budgétaire
cfu-principal-2024,cfu_principal,5,III. États financiers
cfu-principal-2024,cfu_principal,6,IV. États annexés
cfu-principal-2024,cfu_principal,7,A. Présentation croisée et agrégée
cfu-principal-2024,cfu_principal,8,B. États annexés patrimoniaux
cfu-principal-2024,cfu_principal,9,C. États annexés budgétaires
cfu-principal-2024,cfu_principal,10,D. Autres éléments d’information
cfu-principal-2024,cfu_principal,11,V. Arrêté et signatures
cfu-principal-2024,cfu_principal,12,F.C.T.V.A.
germanor-2024-2025,budget_annexe,1,Sommaire
germanor-2024-2025,budget_annexe,2,Le Compte Financier Unique
germanor-2024-2025,budget_annexe,3,I. Informations générales et synthétiques
germanor-2024-2025,budget_annexe,4,II. Exécution budgétaire
germanor-2024-2025,budget_annexe,5,III. États financiers
germanor-2024-2025,budget_annexe,6,IV. États annexés
germanor-2024-2025,budget_annexe,7,A. Présentation croisée et agrégée
germanor-2024-2025,budget_annexe,8,B. États annexés patrimoniaux
germanor-2024-2025,budget_annexe,9,C. États annexés budgétaires
germanor-2024-2025,budget_annexe,10,D. Autres éléments d’information
germanor-2024-2025,budget_annexe,11,V. Arrêté et signatures
germanor-2024-2025,budget_annexe,12,T.V.A. sur autres biens et
germanor-2024-2025,budget_annexe,13,T.V.A. collectée
moulinas-2024-2025,budget_annexe,1,Sommaire
moulinas-2024-2025,budget_annexe,2,Le Compte Financier Unique
moulinas-2024-2025,budget_annexe,3,I. Informations générales et synthétiques
moulinas-2024-2025,budget_annexe,4,II. Exécution budgétaire
moulinas-2024-2025,budget_annexe,5,III. États financiers
moulinas-2024-2025,budget_annexe,6,IV. États annexés
moulinas-2024-2025,budget_annexe,7,A. Présentation croisée et agrégée
moulinas-2024-2025,budget_annexe,8,B. États annexés patrimoniaux
moulinas-2024-2025,budget_annexe,9,C. États annexés budgétaires
moulinas-2024-2025,budget_annexe,10,D. Autres éléments d’information
moulinas-2024-2025,budget_annexe,11,V. Arrêté et signatures
moulinas-2024-2025,budget_annexe,12,T.V.A. sur immobilisations
