commune_code,commune_name,table_code,theme,table_title,row_index,row_label,dimension_label,column_index,column_label,year,unit,value_raw,value_numeric,value_kind
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,1,Ensemble,Âge,1,2011,2011,count_or_text,9 199,9199,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,1,Ensemble,Âge,2,%,,percent,"100,0",100.0,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,1,Ensemble,Âge,3,2016,2016,count_or_text,9 821,9821,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,1,Ensemble,Âge,4,%,,percent,"100,0",100.0,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,1,Ensemble,Âge,5,2022,2022,count_or_text,10 414,10414,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,1,Ensemble,Âge,6,%,,percent,"100,0",100.0,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,2,0 à 14 ans,Âge,1,2011,2011,count_or_text,1 613,1613,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,2,0 à 14 ans,Âge,2,%,,percent,"17,5",17.5,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,2,0 à 14 ans,Âge,3,2016,2016,count_or_text,1 741,1741,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,2,0 à 14 ans,Âge,4,%,,percent,"17,7",17.7,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,2,0 à 14 ans,Âge,5,2022,2022,count_or_text,1 738,1738,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,2,0 à 14 ans,Âge,6,%,,percent,"16,7",16.7,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,3,15 à 29 ans,Âge,1,2011,2011,count_or_text,1 237,1237,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,3,15 à 29 ans,Âge,2,%,,percent,"13,4",13.4,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,3,15 à 29 ans,Âge,3,2016,2016,count_or_text,1 262,1262,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,3,15 à 29 ans,Âge,4,%,,percent,"12,8",12.8,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,3,15 à 29 ans,Âge,5,2022,2022,count_or_text,1 375,1375,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,3,15 à 29 ans,Âge,6,%,,percent,"13,2",13.2,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,4,30 à 44 ans,Âge,1,2011,2011,count_or_text,1 678,1678,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,4,30 à 44 ans,Âge,2,%,,percent,"18,2",18.2,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,4,30 à 44 ans,Âge,3,2016,2016,count_or_text,1 691,1691,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,4,30 à 44 ans,Âge,4,%,,percent,"17,2",17.2,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,4,30 à 44 ans,Âge,5,2022,2022,count_or_text,1 550,1550,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,4,30 à 44 ans,Âge,6,%,,percent,"14,9",14.9,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,5,45 à 59 ans,Âge,1,2011,2011,count_or_text,1 781,1781,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,5,45 à 59 ans,Âge,2,%,,percent,"19,4",19.4,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,5,45 à 59 ans,Âge,3,2016,2016,count_or_text,1 888,1888,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,5,45 à 59 ans,Âge,4,%,,percent,"19,2",19.2,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,5,45 à 59 ans,Âge,5,2022,2022,count_or_text,2 158,2158,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,5,45 à 59 ans,Âge,6,%,,percent,"20,7",20.7,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,6,60 à 74 ans,Âge,1,2011,2011,count_or_text,1 855,1855,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,6,60 à 74 ans,Âge,2,%,,percent,"20,2",20.2,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,6,60 à 74 ans,Âge,3,2016,2016,count_or_text,1 958,1958,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,6,60 à 74 ans,Âge,4,%,,percent,"19,9",19.9,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,6,60 à 74 ans,Âge,5,2022,2022,count_or_text,2 036,2036,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,6,60 à 74 ans,Âge,6,%,,percent,"19,6",19.6,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,7,75 ans ou plus,Âge,1,2011,2011,count_or_text,1 035,1035,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,7,75 ans ou plus,Âge,2,%,,percent,"11,3",11.3,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,7,75 ans ou plus,Âge,3,2016,2016,count_or_text,1 282,1282,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,7,75 ans ou plus,Âge,4,%,,percent,"13,1",13.1,decimal
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,7,75 ans ou plus,Âge,5,2022,2022,count_or_text,1 557,1557,integer
66028,Cabestany,POP_T0,POP,POP T0 - Population par grandes tranches d'âges,7,75 ans ou plus,Âge,6,%,,percent,"15,0",15.0,decimal
66028,Cabestany,POP_G2,POP,POP G2 - Population par grandes tranches d'âges,1,,,0,,,count_or_text,0 à 14 ans,,text
66028,Cabestany,POP_G2,POP,POP G2 - Population par grandes tranches d'âges,1,,,1,2011,2011,count_or_text,"17,5",17.5,decimal
66028,Cabestany,POP_G2,POP,POP G2 - Population par grandes tranches d'âges,1,,,2,2016,2016,count_or_text,"17,7",17.7,decimal
66028,Cabestany,POP_G2,POP,POP G2 - Population par grandes tranches d'âges,1,,,3,2022,2022,count_or_text,"16,7",16.7,decimal
66028,Cabestany,POP_G2,POP,POP G2 - Population par grandes tranches d'âges,2,,,0,,,count_or_text,15 à 29 ans,,text
66028,Cabestany,POP_G2,POP,POP G2 - Population par grandes tranches d'âges,2,,,1,2011,2011,count_or_text,"13,4",13.4,decimal
66028,Cabestany,POP_G2,POP,POP G2 - Population par grandes tranches d'âges,2,,,2,2016,2016,count_or_text,"12,8",12.8,decimal
66028,Cabestany,POP_G2,POP,POP G2 - Population par grandes tranches d'âges,2,,,3,2022,2022,count_or_text,"13,2",13.2,decimal
66028,Cabestany,POP_G2,POP,POP G2 - Population par grandes tranches d'âges,3,,,0,,,count_or_text,30 à 44 ans,,text
66028,Cabestany,POP_G2,POP,POP G2 - Population par grandes tranches d'âges,3,,,1,2011,2011,count_or_text,"18,2",18.2,decimal
66028,Cabestany,POP_G2,POP,POP G2 - Population par grandes tranches d'âges,3,,,2,2016,2016,count_or_text,"17,2",17.2,decimal
66028,Cabestany,POP_G2,POP,POP G2 - Population par grandes tranches d'âges,3,,,3,2022,2022,count_or_text,"14,9",14.9,decimal
66028,Cabestany,POP_G2,POP,POP G2 - Population par grandes tranches d'âges,4,,,0,,,count_or_text,45 à 59 ans,,text
66028,Cabestany,POP_G2,POP,POP G2 - Population par grandes tranches d'âges,4,,,1,2011,2011,count_or_text,"19,4",19.4,decimal
66028,Cabestany,POP_G2,POP,POP G2 - Population par grandes tranches d'âges,4,,,2,2016,2016,count_or_text,"19,2",19.2,decimal
66028,Cabestany,POP_G2,POP,POP G2 - Population par grandes tranches d'âges,4,,,3,2022,2022,count_or_text,"20,7",20.7,decimal
66028,Cabestany,POP_G2,POP,POP G2 - Population par grandes tranches d'âges,5,,,0,,,count_or_text,60 à 74 ans,,text
