Secteur d'activité,Entreprises créées (Nombre),Dont Entreprise individuelle (%),Dont Société à responsabilité limitée (%),Dont Société par actions simplifiée (%),Dont Autres sociétés (%)
Ensemble,208,"65,9","9,1","25,0","0,0"
"Industrie manufacturière, industries extractives et autres",14,"92,9","0,0","7,1","0,0"
Construction,26,"46,2","19,2","34,6","0,0"
"Commerce de gros et de détail, transports, hébergement et restauration",47,"61,7","6,4","31,9","0,0"
Information et communication,8,"50,0","0,0","50,0","0,0"
Activités financières et d'assurance,7,"42,9","14,3","42,9","0,0"
Activités immobilières,11,"18,2","18,2","63,6","0,0"
"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien",45,"71,1","11,1","17,8","0,0"
"Administration publique, enseignement, santé humaine et action sociale",31,"90,3","6,5","3,2","0,0"
"Arts, divertissement et loisirs ; autres activités de services ; activités des ménages, des organismes et organisations extraterritoriaux",19,"73,7","5,3","21,1","0,0"
