col_1,col_2,col_3
Secteur d'activité,Etablissements créés,%
Ensemble,245,"100,0"
"Industrie manufacturière, industries extractives et autres",16,"6,5"
Construction,27,"11,0"
"Commerce de gros et de détail, transports, hébergement et restauration",58,"23,7"
Information et communication,7,"2,9"
Activités financières et d'assurance,8,"3,3"
Activités immobilières,13,"5,3"
"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien",55,"22,4"
"Administration publique, enseignement, santé humaine et action sociale",34,"13,9"
"Arts, divertissement et loisirs ; autres activités de services ; activités des ménages, des organismes et organisations extraterritoriaux",27,"11,0"
