Secteur d'activité,Nombre,%
Ensemble,1 326,"100,0"
"Industrie manufacturière, industries extractives et autres",50,"3,8"
Construction,155,"11,7"
"Commerce de gros et de détail, transports, hébergement et restauration",282,"21,3"
Information et communication,31,"2,3"
Activités financières et d'assurance,71,"5,4"
Activités immobilières,81,"6,1"
"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien",199,"15,0"
"Administration publique, enseignement, santé humaine et action sociale",335,"25,3"
Autres activités de services,122,"9,2"
