Secteur d'activité,Nombre,%
Ensemble,1 481,"100,0"
"Industrie manufacturière, industries extractives et autres",53,"3,6"
Construction,161,"10,9"
"Commerce de gros et de détail, transports, hébergement et restauration",321,"21,7"
Information et communication,37,"2,5"
Activités financières et d'assurance,85,"5,7"
Activités immobilières,85,"5,7"
"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien",243,"16,4"
"Administration publique, enseignement, santé humaine et action sociale",364,"24,6"
Autres activités de services,132,"8,9"
