Sexe et âge,Population,Actifs,Taux d'activité en %,Actifs ayant un emploi,Taux d'emploi en %
Ensemble,5 738,4 246,"74,0",3 692,"64,3"
15 à 24 ans,1 034,363,"35,1",265,"25,6"
25 à 54 ans,3 443,3 118,"90,6",2 749,"79,8"
55 à 64 ans,1 261,765,"60,6",679,"53,8"
Hommes,2 726,2 074,"76,1",1 808,"66,3"
15 à 24 ans,547,217,"39,7",160,"29,2"
25 à 54 ans,1 592,1 496,"94,0",1 319,"82,9"
55 à 64 ans,587,360,"61,3",329,"56,0"
Femmes,3 012,2 172,"72,1",1 885,"62,6"
15 à 24 ans,487,145,"29,9",105,"21,6"
25 à 54 ans,1 852,1 622,"87,6",1 429,"77,2"
55 à 64 ans,674,405,"60,0",350,"52,0"
