label,url,kind,category,confidence,year,tags,path
Le cycle budgétaire,https://ville-cabestany.fr/le-cycle-budgetaire/,page,budget,high,,budget,/le-cycle-budgetaire/
Prochain conseil municipal,https://ville-cabestany.fr/prochain-conseil-municipal/,page,deliberation,medium,,conseil municipal,/prochain-conseil-municipal/
Présentation du Conseil municipal,https://ville-cabestany.fr/presentation-du-conseil-municipal/,page,deliberation,medium,,conseil municipal,/presentation-du-conseil-municipal/
Les marchés publics,https://ville-cabestany.fr/les-marches-publics/,page,marche_public,medium,,marches publics,/les-marches-publics/
A vos côtés,https://ville-cabestany.fr/actes-municipaux/,page,page_information,low,,,/actes-municipaux/
A vos projets,https://ville-cabestany.fr/a-vos-projets/,page,page_information,low,,,/a-vos-projets/
Accueil de loisirs : 6ème à 17 ans,https://ville-cabestany.fr/accueil-de-loisirs-6eme-a-17-ans/,page,page_information,low,,,/accueil-de-loisirs-6eme-a-17-ans/
Actes municipaux,https://ville-cabestany.fr/actes-municipaux/,page,page_information,low,,,/actes-municipaux/
Associations culturelles,https://ville-cabestany.fr/associations-culturelles/,page,page_information,low,,,/associations-culturelles/
Associations sportives,https://ville-cabestany.fr/associations-sportives/,page,page_information,low,,,/associations-sportives/
Ateliers culturels,https://ville-cabestany.fr/ateliers-culturels/,page,page_information,low,,,/ateliers-culturels/
Autres associations,https://ville-cabestany.fr/autres-associations/,page,page_information,low,,,/autres-associations/
Bibliothèque,https://ville-cabestany.fr/bibliotheque-andre-stil/,page,page_information,low,,,/bibliotheque-andre-stil/
Bienvenue à Cabestany,https://ville-cabestany.fr/bienvenue-a-cabestany/,page,page_information,low,,,/bienvenue-a-cabestany/
Cadre de vie,https://ville-cabestany.fr/actes-municipaux/,page,page_information,low,,,/actes-municipaux/
Cartes postales anciennes,https://ville-cabestany.fr/cartes-postales-anciennes/,page,page_information,low,,,/cartes-postales-anciennes/
Centre culturel Jean Ferrat,https://ville-cabestany.fr/centre-culturel-jean-ferrat/,page,page_information,low,,,/centre-culturel-jean-ferrat/
Chemins de randonnée,https://ville-cabestany.fr/chemins-de-randonnee/,page,page_information,low,,,/chemins-de-randonnee/
Cimetière,https://ville-cabestany.fr/cimetiere/,page,page_information,low,,,/cimetiere/
Cinéma,https://ville-cabestany.fr/le-cinema-municipal/,page,page_information,low,,,/le-cinema-municipal/
Collectes à Cabestany,https://ville-cabestany.fr/collectes-a-cabestany/,page,page_information,low,,,/collectes-a-cabestany/
Commerces et artisans de proximité,https://ville-cabestany.fr/commerces-et-artisans-de-proximite/,page,page_information,low,,,/commerces-et-artisans-de-proximite/
Complexe Germanor,https://ville-cabestany.fr/complexe-germanor/,page,page_information,low,,,/complexe-germanor/
Conseil Communal des Jeunes - CCJ,https://ville-cabestany.fr/conseil-communal-des-jeunes-ccj/,page,page_information,low,,,/conseil-communal-des-jeunes-ccj/
Coup d'oeil,https://ville-cabestany.fr/coup-doeil/,page,page_information,low,,,/coup-doeil/
Dossier Guy Moquet,https://ville-cabestany.fr/dossier-espace-guy-moquet/,page,page_information,low,,,/dossier-espace-guy-moquet/
Déchetterie,https://ville-cabestany.fr/dechetterie/,page,page_information,low,,,/dechetterie/
Déclaration d’accessibilité,https://ville-cabestany.fr/declaration-daccessibilite/,page,page_information,low,,,/declaration-daccessibilite/
Découvrir la ville,https://ville-cabestany.fr/actes-municipaux/,page,page_information,low,,,/actes-municipaux/
Déjections canines,https://ville-cabestany.fr/dejections-canines/,page,page_information,low,,,/dejections-canines/
Démarches des Entreprises,https://ville-cabestany.fr/demarches-des-entreprises/,page,page_information,low,,,/demarches-des-entreprises/
Dépôts sauvages,https://ville-cabestany.fr/depots-sauvages/,page,page_information,low,,,/depots-sauvages/
En chiffres...,https://ville-cabestany.fr/en-chiffres/,page,page_information,low,,,/en-chiffres/
Enfance Jeunesse,https://ville-cabestany.fr/actes-municipaux/,page,page_information,low,,,/actes-municipaux/
Espace de vie sociale,https://ville-cabestany.fr/espace-de-vie-sociale/,page,page_information,low,,,/espace-de-vie-sociale/
Espace Pro,https://ville-cabestany.fr/espace-pro/,page,page_information,low,,,/espace-pro/
Etymologie et blason,https://ville-cabestany.fr/etymologie-et-blason/,page,page_information,low,,,/etymologie-et-blason/
Garderie et études surveillées,https://ville-cabestany.fr/garderie-et-etudes-surveillees/,page,page_information,low,,,/garderie-et-etudes-surveillees/
